name	city	state	stars	review_count	main_category
Farrell Smyth, Inc.	San Luis Obispo	CA	1.0	6	Property Management
Quicky Smog Test Only & Regular	Upland	CA	4.5	30	Automotive
Hampshire Community Yellow Bike Program	Amherst	MA	3.5	2	Local Services
Merrill Lynch	San Luis Obispo	CA	5.0	2	NA
DARCARS Nissan of College Park	College Park	MD	2.5	6	Auto Repair
Grad Center Bar	Providence	RI	4.5	20	Dive Bars
Gregory's Optical	Providence	RI	4.5	5	Shopping
University Catholic Center	Los Angeles	CA	4.5	2	Churches
Gullifty's Restaurant	Pittsburgh	PA	3.0	51	Food
Michigan Theater	Ann Arbor	MI	4.5	40	Arts & Entertainment
Subway	Austin	TX	3.0	2	Delis
HAI HONG	Ithaca	NY	3.5	3	NA
Homewood Suites	Philadelphia	PA	4.5	2	Hotels & Travel
Borseno's Barber Shop	Seattle	WA	4.0	31	Hair Salons
Potbelly Sandwich Works	Champaign	IL	4.5	17	Sandwiches
Thomas Mattimore, MD	Los Angeles	CA	5.0	5	Doctors
Newsbox Etc	Houston	TX	2.5	2	Food
Leslie Windman, BCAO	Greenbelt	MD	3.0	2	Health and Medical
Channing Real Estate	Cambridge	MA	2.5	3	Real Estate Services
S3 Safe Sex Store	Ann Arbor	MI	4.0	9	Health and Medical
Harvard Square Cafe	Claremont	CA	2.5	65	American (New)
Ginza & Co	Champaign	IL	4.0	3	Flowers & Gifts
Bayking Doughnuts & Pastries	Berkeley	CA	3.0	34	Food
Love Goat	Austin	TX	3.5	3	Bars
Juicy Couture	Seattle	WA	3.5	9	Women's Clothing
Hi-D-Ho Dog Training	Blacksburg	VA	3.0	2	Pet Services
Dr. Grubb's	Claremont	CA	4.5	153	American (Traditional)
Bulldog Postal	Houston	TX	2.5	6	Post Offices
Gynecology Specialists of Philadelphia	Philadelphia	PA	3.5	11	Doctors
The Library	San Luis Obispo	CA	3.0	53	Bars
Evans, Piggott & Finney Eye Care	Lafayette	IN	4.5	3	Optometrists
Noodle Planet	Los Angeles	CA	3.0	396	Thai
The Stable	Providence	RI	4.0	19	Bars
Jimmy's Shoe Repair	Cambridge	MA	4.5	41	Local Services
Valley Thrift Shop	New York	NY	3.0	3	Thrift Stores
Leopold Murphy and Main, DDS	San Luis Obispo	CA	4.0	6	Dentists
Zocalo	Philadelphia	PA	3.0	53	Mexican
St Austin Catholic Church	Austin	TX	4.5	8	Religious Organizations
Spiaks Restaurant	Watervliet	NY	4.0	9	Italian
Tower Records-Video-Books	Seattle	WA	2.0	2	Videos and Video Game Rental
Pines	San Diego	CA	2.5	7	American (Traditional)
Lei's Auto & Collision Service Center	Philadelphia	PA	4.0	12	Auto Repair
Hana Sushi	Manhattan	NY	1.5	6	Sushi Bars
Boston Tea Stop	Cambridge	MA	4.0	243	Food
House of Teriyaki	Amherst	MA	3.5	18	Korean
Asian Bistro	Providence	RI	2.5	12	Asian Fusion
House of Saigon	Lafayette	IN	3.5	11	Vietnamese
Rainier Copy and Print	Seattle	WA	5.0	31	Local Services
Chipotle Mexican Grill	Palo Alto	CA	3.0	6	Food
Asia Tea House	Pittsburgh	PA	4.0	2	Food
Pasadena Premier Dermatology	Pasadena	CA	4.5	19	Dermatologists
Mosaique Day Spa-Salon	Claremont	CA	4.0	15	Hair Salons
USPS Post Office	Amherst	MA	1.0	2	Post Offices
Rack & Soul	New York	NY	3.5	142	Soul Food
Chipotle	La Jolla	CA	3.5	191	Mexican
Joe Mama's Italian Deluxe	Pittsburgh	PA	2.5	44	Italian
Sweet Pepper Grill	Los Angeles	CA	4.5	11	American (New)
Pita Pit	San Luis Obispo	CA	3.0	41	Greek
CK Mini Market	Berkeley	CA	4.0	5	Food
Sprouts Farmer's Market	Claremont	CA	4.0	63	Food
Boom Noodle	Seattle	WA	3.0	175	Japanese
Allegro Hearth Bakery	Pittsburgh	PA	4.0	21	Food
Whole Lot-a Gelata	Waterloo	ON	4.0	4	Food
Thai Place Restaurant	Pittsburgh	PA	3.0	63	Thai
WPRB 103.3 FM	Princeton	NJ	5.0	7	Mass Media
Cafe Pacific	Ithaca	NY	3.5	16	Japanese
Berkeley City Club	Berkeley	CA	4.0	85	Hotels & Travel
The Daily Grind Espresso Cafe	Chapel Hill	NC	4.0	10	Food
Messages	Philadelphia	PA	2.5	2	Cards & Stationery
Only You Salon & Supply	Austin	TX	5.0	2	Hair Salons
Just Tires	Montclair	CA	5.0	5	Tires
Rice Graduate Apartments	Houston	TX	4.0	2	Colleges & Universities
Steak N Shake	Lafayette	IN	3.0	6	Restaurants
California Blonde	San Luis Obispo	CA	4.0	7	Used, Vintage & Consignment
Spritz Jewelry Co	Champaign	IL	2.0	4	Shopping
Fitcorp	Cambridge	MA	3.5	7	Active Life
Classic Silver Wok Gourmet	Chapel Hill	NC	5.0	2	Food
Alamo Mexican Restaurant	Riverdale	MD	4.0	21	Mexican
Cafe Ventanas	La Jolla	CA	3.0	17	Cafes
Kitchen	Chapel Hill	NC	4.0	60	French
Schuck's O'Reilly Auto Supply	Seattle	WA	4.0	5	Automotive
Coco Bongo	Philadelphia	PA	3.0	2	Bars
Sushi King	Troy	NY	2.5	16	Japanese
Pampas	Palo Alto	CA	4.0	1146	Steakhouses
Lynn Animal Hospital	Riverdale	MD	4.5	16	Veterinarians
Taste of Atlanta	Atlanta	GA	3.5	34	Festivals
Dunkin Donuts	Cambridge	MA	2.5	10	Food
Wireless N You	Plainsboro	NJ	3.0	2	Shopping
Erawan Thai Cuisine	Philadelphia	PA	3.5	131	Thai
Uncle Jimmy's	Pittsburgh	PA	5.0	2	Dive Bars
Courtney's	Latham	NY	3.5	2	Pizza
Quality Suites	San Luis Obispo	CA	4.0	41	Hotels & Travel
Zebra Tattoo & Body Piercing	Berkeley	CA	3.0	237	Tattoo
Starbucks	Cambridge	MA	3.0	24	Food
Jimmy John's Gourmet Sandwiches	Philadelphia	PA	4.0	30	Sandwiches
Budget Truck Rental	New York	NY	1.0	2	NA
Toppers Pizza	Kitchener	ON	1.0	2	Pizza
Ithaca Mall	Ithaca	NY	2.5	9	Shopping Centers
Bella Capelli	Champaign	IL	5.0	3	Hair Salons
The Scale House Brewery and Pub	Ithaca	NY	3.5	3	Food
UNC Surplus Property	Chapel Hill	NC	4.5	8	Furniture Stores
Redcap's Corner	Philadelphia	PA	4.5	5	Hobby Shops
Covel Commons Residential Restaurant	Los Angeles	CA	4.0	19	American (Traditional)
ORS Pilates and Yoga	Los Angeles	CA	4.0	5	Active Life
Baker's Peak Deli	West Lafayette	IN	3.5	4	Food
Montclair Metrolink Station	Montclair	CA	3.0	7	Train Stations
Newtowne Variety	Cambridge	MA	4.5	25	Sandwiches
Wheatberry Bakery & Cafe	Amherst	MA	3.0	17	Food
Jamba Juice	La Jolla	CA	3.5	26	Food
Visart Video	Carrboro	NC	5.0	4	Videos and Video Game Rental
Papa's Corner Restaurant & Pizzeria	Watervliet	NY	4.0	4	Italian
Cumberland Farms Inc	Amherst	MA	4.5	3	Food
Berkeley Hat Company	Berkeley	CA	4.0	103	Women's Clothing
Zuzu's Petals	Providence	RI	2.0	10	Women's Clothing
Weaver Street Market	Carrboro	NC	4.0	74	Food
Spatz William	Pittsburgh	PA	5.0	2	Oral Surgeons
Taste of Cambridge	Cambridge	MA	4.0	10	Local Flavor
University of Texas MD Anderson Cancer Center	Houston	TX	5.0	19	Hospitals
Duane Reade	New York	NY	2.0	3	Shopping
Espresso Roma	Seattle	WA	3.0	6	Food
Upstairs On the Square	Cambridge	MA	3.5	433	American (New)
Westside Family Medicine	New York	NY	1.0	9	Doctors
Hampshire Bicycle Exchange	Amherst	MA	3.0	3	Active Life
Everyday Cook	Ann Arbor	MI	3.0	3	Kitchen & Bath
Silvio's Organic Pizza	Ann Arbor	MI	3.5	104	Italian
Fire Hook Taco Truck	Los Angeles	CA	3.0	15	Food Stands
Johnston's Market	Berkeley	CA	3.5	17	Food
Aroma Cafe	Philadelphia	PA	3.0	5	Food
Courtyard Providence Downtown	Providence	RI	3.5	17	Hotels & Travel
Union On Yale	Claremont	CA	3.5	125	Bars
Noah's Bagels	Berkeley	CA	2.0	91	Food
The Childrens School	Seattle	WA	4.0	3	Local Services
Boston Percussive Dance	Cambridge	MA	5.0	5	Arts & Entertainment
Saffron Homestyle Indian Cuisine	San Luis Obispo	CA	5.0	2	Specialty Food
Purdue Federal Credit Union	West Lafayette	IN	4.0	5	Banks & Credit Unions
Zavod King Bartlett Pediatrics	Philadelphia	PA	5.0	3	Doctors
Expressions	Chapel Hill	NC	4.5	2	Tobacco Shops
Electrolysis & Skin Care by Ani	Pasadena	CA	3.5	2	Skin Care
Price Chopper	Albany	NY	2.5	4	Food
Izzy & Zoe's	Philadelphia	PA	3.0	8	Delis
Bedworks	Cambridge	MA	4.5	19	Mattresses
Hudson Lounge	Houston	TX	3.0	41	Bars
Bruegger's Bagel Bakery	Troy	NY	3.5	10	Food
College Shoe Repair Shop	Ann Arbor	MI	4.5	11	Local Services
Uch	Philadelphia	PA	3.0	2	Home Services
Conundrum	Cambridge	MA	4.5	6	American (New)
Safeway	Seattle	WA	2.0	53	Food
Greek Corner Restaurant II	Cambridge	MA	3.5	27	Greek
Rockys Tailor Shop	Pittsburgh	PA	4.0	7	Local Services
McDonald's	Los Angeles	CA	2.0	18	Fast Food
XO Steakhouse	Providence	RI	4.5	6	Steakhouses
Fowler Museum	Los Angeles	CA	4.0	34	Museums
Fredo's Pizzeria	Pasadena	CA	3.0	52	Pizza
Hilton Garden Inn Washington DC/Greenbelt	Greenbelt	MD	3.0	5	Hotels & Travel
Tick Tock Liquors	Hyattsville	MD	2.5	8	Food
Evolutions Salon	Pasadena	CA	4.5	13	Hair Salons
The Mediterranean Grill	Pittsburgh	PA	4.0	19	Mediterranean
The Institute of Neurological Recovery	Los Angeles	CA	1.5	3	Doctors
The Berkeley Barber Shop	Cambridge	MA	5.0	4	Barbers
Foothill Car Wash & Detail	Upland	CA	3.5	22	Car Wash
Global Ink	New York	NY	3.5	3	Tobacco Shops
Easy Chair Coffee Shop	Blacksburg	VA	4.0	6	Food
Manna International Foods & Gifts	Ann Arbor	MI	4.0	10	Food
The Market At Munger	Stanford	CA	3.5	5	Specialty Food
La Piccola Cucina	Manhattan	NY	3.5	6	Italian
Bp Products of North America	Atlanta	GA	4.0	5	Automotive
Fondue Fred	Berkeley	CA	3.0	172	Fondue
Fuel & Fuddle	Pittsburgh	PA	3.5	95	American (Traditional)
Party City	Greenbelt	MD	2.5	5	Arts & Crafts
Pane e Cioccolata	Berkeley	CA	3.0	13	Food
Society Coffee	New York	NY	3.5	156	Food
Mother's Tavern	San Luis Obispo	CA	3.5	36	Bars
Dunkin Donuts	Cambridge	MA	3.5	12	Food
Bank of Ann Arbor	Ann Arbor	MI	5.0	2	Banks & Credit Unions
Harlem Car Service	New York	NY	2.5	20	Hotels & Travel
EVOO	Cambridge	MA	4.0	252	American (New)
H Robert Stender, DDS	Pasadena	CA	5.0	5	Dentists
Extended Stay Deluxe Hotel	Houston	TX	2.0	4	Hotels & Travel
Carriage House Massage	Austin	TX	5.0	2	Day Spas
Nail Trix	Hyattsville	MD	3.5	5	NA
Dijon: A French Bistro	Ithaca	NY	3.5	7	Food
Oge-Chi Restuarant and Lounge	Blacksburg	VA	2.5	2	Bars
Miller's Claremont Laundry & Dry Cleaning	Claremont	CA	3.0	3	Local Services
Birrieria Baldomero	Los Angeles	CA	5.0	4	Mexican
Shehan-Shah Indian Cuisine	Ann Arbor	MI	2.0	2	Restaurants
Beijing Tokyo	Cambridge	MA	3.0	52	Thai
GoBerry	Amherst	MA	4.0	17	Food
Pennsylvania Wine and Spirits	Philadelphia	PA	2.5	4	Shopping
Espresso Royale	Champaign	IL	3.5	4	Food
Jagdip Powar, MD	Palo Alto	CA	5.0	16	Doctors
Nora's Grocery	Watervliet	NY	5.0	5	Food
Waterloo Cycles	Austin	TX	1.5	16	Sporting Goods
Healthy Pet Center	Troy	NY	4.5	2	Pets
Auto Logic	Carrboro	NC	4.5	11	Auto Repair
Lacy Joseph R MD	Palo Alto	CA	2.0	2	NA
Super 8 Motel	San Luis Obispo	CA	2.5	19	Hotels & Travel
Photography by Leigh Ann Rahn	Los Angeles	CA	5.0	6	Photographers
CARisma Wash	Houston	TX	4.0	24	Car Wash
Planned Parenthood	Los Angeles	CA	5.0	5	Doctors
Pita Vera	Blacksburg	VA	4.0	27	Mediterranean
B Good	Mid-Cambridge	MA	2.5	5	Burgers
Budget Blinds	Pasadena	CA	2.0	3	Shades & Blinds
Central Parking Systems	Providence	RI	3.0	2	Automotive
Chocolaterie Stam	Chapel Hill	NC	4.5	12	Specialty Food
Bellanina	Ann Arbor	MI	3.0	14	Day Spas
Simple iFix iPhone Repairs	Manhattan	NY	5.0	12	Local Services
Food Lion	Chapel Hill	NC	3.5	3	Food
Ren's Mobil Service	Amherst	MA	4.5	3	Auto Repair
P-Town	Pittsburgh	PA	3.5	3	Adult Entertainment
Cloud 9 Smoke Shop and Hookah Lounge	San Luis Obispo	CA	4.5	13	Bars
Stick or Treat	Austin	TX	4.5	4	Food
Hemline	Houston	TX	3.5	2	Women's Clothing
Honeys & Heroes	Palo Alto	CA	4.0	6	Children's Clothing
Kingkong Sushi	Claremont	CA	4.0	112	Japanese
Oak Creek Apartments	Palo Alto	CA	2.5	10	Home Services
The Lamp Post	Albany	NY	2.5	4	Lighting Fixtures & Equipment
French Quarter	San Luis Obispo	CA	4.5	6	Women's Clothing
ArtMart	Urbana	IL	4.0	12	Kitchen & Bath
Island Wash Laundromant	Troy	NY	1.5	2	Local Services
Yoga Plus	Austin	TX	2.0	5	Active Life
NY Buffet	Greenbelt	MD	2.5	6	Buffets
Broadway Presbyterian Church	New York	NY	5.0	2	Churches
El Rodeo Mexican Restaurant	Chapel Hill	NC	2.0	8	Mexican
RedSeven Bar & Grill	Lafayette	IN	3.5	30	American (New)
Honda of Ithaca	Ithaca	NY	3.5	3	Auto Repair
Michelle's Yogurt & Sweets	Berkeley	CA	3.5	69	Food
Penn Station	West Lafayette	IN	4.5	7	Sandwiches
Shanes Jewelry	Los Angeles	CA	4.5	15	Shopping
International House	Berkeley	CA	4.0	16	University Housing
La Guadalupana	West Lafayette	IN	4.5	12	Mexican
Beven & Brock Property Management Company	Pasadena	CA	1.5	14	Property Management
Gugliani's Rice Village	Houston	TX	3.0	19	Italian
Advanced Cadillac Service	Montclair	CA	5.0	2	Auto Repair
University Movers	Philadelphia	PA	2.5	3	Movers
Hotel Midtown	Atlanta	GA	2.0	22	Hotels & Travel
Original Soup Man	Princeton	NJ	1.5	2	American (New)
Wizzywig Collectibles	Ann Arbor	MI	3.5	2	Music & DVDs
Otto Pizza	Cambridge	MA	4.0	164	Pizza
Sandor Hites, DDS	Berkeley	CA	4.5	11	Health and Medical
Super Star East Buffet	Princeton	NJ	3.0	28	Buffets
Historic Lincoln Hotel	Urbana	IL	2.5	4	Hotels & Travel
Chili's Grill & Bar	Hadley	MA	3.5	4	American (Traditional)
Emerald City Lounge	Champaign	IL	4.0	14	Wine Bars
The State Theatre	Ann Arbor	MI	3.5	22	Arts & Entertainment
Boloco	Cambridge	MA	3.5	120	Mexican
Star of India	Pittsburgh	PA	3.0	18	Pakistani
Stop & Shop	Monmouth Junction	NJ	2.5	5	Food
Cafe Sam	Pittsburgh	PA	3.5	21	American (New)
Cliff Hanger Cafe	La Jolla	CA	4.0	38	Cafes
Folk Music Center	Claremont	CA	4.5	31	Musical Instruments & Teachers
Dunkin Donuts	Cambridge	MA	3.5	10	Food
The Stand	Los Angeles	CA	3.5	220	Burgers
Amherst Fish Market	Amherst	MA	3.5	2	Food
Beadworks	Providence	RI	3.0	3	Shopping
Oma's Kitchen	Austin	TX	3.5	18	Korean
The Inn at Virginia Tech and Skelton Conference Center	Blacksburg	VA	3.0	13	Hotels & Travel
Geovanti's	Champaign	IL	3.5	28	Dive Bars
EJ Burger	Seattle	WA	4.0	54	Burgers
J Marie's Restaurant	Hyattsville	MD	4.0	9	Cajun/Creole
Torrey Pines Dental Arts	La Jolla	CA	4.5	52	Oral Surgeons
Johnny's Flowers	Seattle	WA	4.0	5	Flowers & Gifts
Craig Mauk - State Farm Insurance Agent	Montclair	CA	5.0	2	Financial Services
Dixon, Howell, Westmoreland & Newman	Los Angeles	CA	1.0	2	Professional Services
Mongo Fresh	Los Angeles	CA	3.0	4	Chinese
Windsor	La Jolla	CA	3.0	4	Women's Clothing
Ithaca Bakery	Ithaca	NY	4.0	54	Food
Chica Loca Taco	Pittsburgh	PA	3.5	19	Mexican
Riya Beauty Parlor	Berkeley	CA	3.5	62	Skin Care
Bobby's Burger Palace	Princeton	NJ	4.0	23	Burgers
Aladdins Natural Eatery	Ithaca	NY	3.5	38	Restaurants
Goldstar Events	Pasadena	CA	3.0	14	Event Planning & Services
Taylor Plastic Surgery Center	Pasadena	CA	1.0	2	Doctors
The Blind Pig Company	Champaign	IL	4.5	79	Pubs
Hudson Grille	Atlanta	GA	3.5	109	Bars
Burden Busters Errands, Chores & More	College Park	MD	5.0	2	Notaries
Massasoit Lodge of Elks	Cambridge	MA	4.0	2	Arts & Entertainment
Sumalee Sangsurasak, DDS	Pasadena	CA	3.5	11	Oral Surgeons
Bodies In Balance	Ann Arbor	MI	4.0	3	Active Life
Metropolis Spa & Salon	Princeton	NJ	2.5	8	Day Spas
Arbuckle Café	Stanford	CA	3.0	23	American (Traditional)
Urban Optics	San Luis Obispo	CA	4.5	20	Shopping
Autoworks	Ithaca	NY	3.0	2	Auto Repair
Chocolat Restaurant Lounge	New York	NY	3.0	60	Bars
Murphy's Pub	Champaign	IL	4.0	60	Pubs
University Way Korean Cuisine	Seattle	WA	3.5	5	Korean
Professorville Drop-In	Palo Alto	CA	1.0	3	Local Services
Mastercuts	Hadley	MA	1.0	4	NA
Conestoga Mall	Waterloo	ON	4.0	4	Shopping Centers
125th Street in Harlem	New York	NY	3.0	21	Landmarks & Historical Buildings
Merry Ann's Diner	Urbana	IL	4.0	8	Diners
Impress Rubber Stamps	Seattle	WA	3.5	6	Cards & Stationery
VPQ Computer & Telecom, LLC	Princeton	NJ	5.0	2	Local Services
Bodystrength Fitness	New York	NY	3.5	12	Active Life
Ronald Reagan UCLA Medical Center	Los Angeles	CA	3.0	76	Hospitals
John Hay Library	Providence	RI	5.0	2	Libraries
Veterinary Care of Ithaca	Ithaca	NY	3.0	2	Veterinarians
Institute For Advanced Study	Princeton	NJ	4.0	2	Colleges & Universities
Orient Kitchen	Pittsburgh	PA	3.0	23	Chinese
Black Cat Tattoos	Pittsburgh	PA	5.0	4	Tattoo
